starting frequency (kHz),final frequency (kHz),minimum frequency (kHz),maximum frequency (kHz),mean frequency (kHz),frequency bandwidth (kHz),syllable duration (msec),total syllable energy (dB),peak syllable amplitude (dB),Clean 
53.22,62.99,37.6,64.7,51.88,27.1,27.2,2.97,-10.47,1
45.65,58.59,42.48,70.8,47.14,28.32,22.4,6.53,-9.66,1
70.07,41.26,37.6,90.33,66.38,52.73,203.2,18.48,0.97,1
65.67,45.9,45.9,78.86,59.16,32.96,80,5.37,-12.13,1
36.13,39.55,36.13,79.59,55.49,43.46,99.2,22.27,3.14,1
37.11,37.11,37.11,49.07,37.11,11.96,252.8,13.09,-8.73,1
43.95,44.43,43.95,51.27,43.95,7.32,91.2,-7.62,-21.01,1
60.55,91.06,38.82,106.93,69.26,68.12,190.4,24.47,3.08,1
42.48,36.38,38.57,100.1,65.74,61.52,161.6,30.35,8.32,1
75.93,47.12,40.28,101.56,68.5,61.28,40,9.21,-5.03,1
54.69,58.11,54.69,85.21,59.89,30.52,30.4,-5.96,-20.66,1
69.09,62.99,63.96,70.31,62.73,6.35,25.6,1.88,-9.45,1
95.7,93.99,94.48,100.1,95.09,5.62,24,1.35,-9.34,1
66.41,66.89,66.16,70.07,67.31,3.91,16,12.8,2.95,1
73.73,70.56,71.04,76.66,71.28,5.62,20.8,2.45,-9.83,1
58.11,57.86,58.11,63.23,59.7,5.13,27.2,12.5,-1.18,1
82.52,67.14,42.24,102.29,70.05,60.06,57.6,10.68,-11.8,0
81.3,79.35,79.35,85.21,81.63,5.86,16,14.15,4.6,1
64.45,64.94,64.45,66.89,65.08,2.44,11.2,-7.96,-18.76,1
72.02,67.87,58.35,96.68,76.42,38.33,84.8,21.39,0.25,0
63.23,97.66,63.23,109.62,79.59,46.39,32,8.58,-3.74,1
38.57,85.21,38.57,86.43,51.39,47.85,17.6,0.43,-13.18,0
34.91,40.28,34.91,47.61,34.91,12.7,65.6,2.13,-9.25,0
40.53,53.47,40.53,69.58,52.94,29.05,38.4,4.12,-15.37,0
61.77,59.08,57.13,66.65,40.36,9.52,27.2,-2.83,-13.77,0
38.57,35.16,38.57,85.21,63.65,46.63,22.4,22.19,6.13,0
65.43,74.46,65.43,84.72,75.9,19.29,27.2,33.85,21.32,1
76.42,76.66,76.42,78.13,76.77,1.71,8,-7.5,-17,1
38.33,42.72,38.33,59.81,48.78,21.48,16,13.94,-3.34,0
36.13,37.6,36.13,52,39.71,15.87,256,6.83,-8.16,0
66.41,40.04,66.16,86.67,61.27,20.51,30.4,1.42,-6.95,0
71.53,70.56,70.8,74.46,69.22,3.66,17.6,2.98,-8.27,1
85.69,84.96,84.96,97.41,88.57,12.45,19.2,12.87,0.65,0
63.96,43.46,41.99,101.32,71.51,59.33,22.4,16.1,-3.42,0
42.48,44.92,42.48,54.44,46.14,11.96,22.4,10.59,-3.14,0
71.53,71.78,71.53,73.73,72.04,2.2,14.4,-0.82,-11.69,1
46.88,44.43,40.28,57.86,45.88,17.58,36.8,4.57,-11.55,0
37.35,38.33,34.67,84.23,57.81,49.56,136,19.83,-4.9,0
44.43,39.55,39.55,76.17,48.93,36.62,27.2,7.78,-10.53,0
62.74,93.99,60.06,108.64,88.9,48.58,41.6,30.59,19.11,1
79.35,74.22,74.71,83.25,78.15,8.54,30.4,15.61,3.16,1
60.79,54.69,54.2,85.69,62.1,31.49,32,7.38,-6.58,0
78.13,75.44,75.68,81.3,77.07,5.62,27.2,13.93,2.22,1
52.25,43.7,42.97,87.65,47.31,44.68,48,5.73,-11.72,0
40.77,39.06,40.77,90.09,64.45,49.32,25.6,14.32,-2.44,0
72.51,70.56,70.8,80.81,75.27,10.01,35.2,21.15,7.08,1
49.07,42.48,40.77,79.59,58.73,38.82,153.6,15.08,-5.47,0
66.65,74.71,34.67,81.79,54.14,47.12,78.4,8.85,-11.61,0
44.92,45.17,39.31,72.51,56.04,33.2,35.2,8.64,-6.96,0
36.13,37.11,36.13,57.62,44.48,21.48,65.6,10.02,-9.28,0
67.14,62.01,63.23,68.36,62.01,5.13,27.2,0.14,-13.37,1
41.5,40.04,39.31,77.64,65,38.33,38.4,36.02,25.31,1
86.67,95.46,86.67,109.13,88.71,22.46,28.8,8.86,-4.16,1
38.57,37.11,38.57,71.53,57.68,32.96,30.4,11.45,-9.26,0
78.61,75.44,75.93,83.01,78.07,7.08,25.6,5.35,-7.89,1
99.12,103.76,99.12,104.49,103.19,5.37,14.4,-1.33,-13.48,1
41.02,40.77,36.13,57.86,33.02,21.73,36.8,2.79,-9.55,0
37.84,42.48,37.84,52.73,42.97,14.89,41.6,0.42,-17.49,0
49.56,59.08,49.32,69.09,57.82,19.78,32,7.38,-7.75,0
37.84,78.13,37.84,81.54,71.88,43.7,33.6,11.25,0.04,1
61.04,39.79,42.48,62.74,45.69,20.26,72,8.65,-9.34,0
35.4,35.16,35.4,83.01,53.28,47.61,68.8,15.54,-0.25,0
41.02,59.57,39.79,89.36,64.76,49.56,70.4,13.47,-9.82,0
44.92,37.6,35.89,74.22,50.12,38.33,54.4,11.85,-8.5,0
66.89,62.5,62.74,68.6,61.92,5.86,16,0.55,-10.79,1
39.79,69.09,34.67,79.1,54.18,44.43,51.2,2.45,-16.02,0
77.88,106.69,73.24,108.89,77.97,35.64,38.4,13.13,-0.94,1
74.46,70.8,71.04,77.88,74.57,6.84,25.6,13.04,-0.17,1
80.81,81.54,80.57,86.91,81.24,6.35,24,11.67,-0.74,1
42.24,39.55,36.62,54.44,44.15,17.82,78.4,6.29,-11.65,0
37.11,37.11,37.11,48.34,37.11,11.23,54.4,1.26,-16.77,0
93.26,88.87,89.36,95.7,83.01,6.35,12.8,-3.5,-14.13,1
99.37,97.66,95.46,108.4,99.17,12.94,19.2,9.77,-1.48,1
41.5,39.55,39.55,54.2,43.53,14.65,17.6,-2.78,-16.93,1
67.38,64.21,48.83,88.13,67.98,39.31,32,6.8,-10.94,0
38.09,37.35,37.6,48.1,37.6,10.5,14.4,-7.89,-19.65,0
94.97,92.77,93.51,98.63,94.65,5.13,20.8,6.67,-5.72,1
89.36,84.96,85.21,90.09,81.02,4.88,17.6,-0.07,-11.4,1
108.89,106.2,107.42,107.42,107.42,0,19.2,11.6,1.14,1
74.46,71.78,70.31,74.95,61.52,4.64,17.6,-6.46,-19.45,0
64.94,61.52,62.5,66.41,59.54,3.91,17.6,0.72,-10.85,1
43.46,39.06,42.48,56.88,47.03,14.4,20.8,2.56,-10.79,0
34.67,40.28,34.67,73.73,46.32,39.06,36.8,10.13,-6.55,0
70.8,91.06,59.57,105.96,72.08,46.39,49.6,30.73,16.31,1
51.27,71.78,51.27,82.28,59.62,31.01,33.6,7.42,-11.36,0
74.22,71.78,72.27,75.93,69.72,3.66,28.8,4.94,-6.46,1
64.21,88.87,63.72,95.7,67.18,31.98,33.6,-1.39,-14.35,1
63.72,62.74,63.23,66.89,64.01,3.66,32,5.06,-8.28,1
87.16,76.9,77.39,88.38,77.1,10.99,17.6,2.09,-11.04,1
59.57,82.76,57.13,86.91,61.45,29.79,28.8,17.05,6.8,1
34.91,59.33,34.91,62.74,45,27.83,80,3.72,-12.36,0
77.39,47.12,76.9,77.88,38.64,0.98,25.6,1.73,-8.21,0
66.89,85.69,52,85.69,62.39,33.69,40,26.79,13.22,1
67.87,108.15,67.87,109.38,73.2,41.5,30.4,24.23,12.42,1
93.75,84.23,84.23,97.9,88.3,13.67,41.6,16.66,-0.24,1
42.48,57.13,40.53,62.74,53.3,22.22,16,16.95,-2.6,0
49.8,80.81,49.07,81.79,58.81,32.71,14.4,-6.31,-18.81,0
63.72,60.3,60.3,65.67,62.8,5.37,33.6,9.79,-2.67,1
87.89,83.98,84.96,89.6,79.51,4.64,12.8,-2.94,-13.24,1
86.91,89.84,86.91,94.48,82.11,7.57,33.6,13.26,3.65,1
82.76,65.43,65.92,91.31,82.2,25.39,28.8,27.68,15.45,1
95.7,86.18,87.16,101.32,81.47,14.16,14.4,2.28,-8.78,1
65.43,63.23,63.96,69.58,65.42,5.62,40,16.53,3.51,1
60.06,67.14,49.8,88.38,69.75,38.57,27.2,12.25,-1.24,0
78.13,73.24,73.97,81.3,77.46,7.32,43.2,13.52,-2.39,1
37.11,41.02,37.11,48.58,41.26,11.47,9.6,-7.36,-20.66,0
80.08,74.95,75.44,84.47,78.66,9.03,30.4,8.39,-5.03,1
77.39,72.51,72.51,81.54,77.27,9.03,24,13.44,0.19,1
54.93,80.81,54.93,84.47,69.07,29.54,17.6,-5.25,-20.47,0
50.54,38.82,38.82,54.69,26.27,15.87,20.8,2.8,-10.14,0
108.89,106.93,108.4,108.4,108.4,0,17.6,9.29,-1.12,1
82.03,101.07,82.03,106.93,87.61,24.9,25.6,12.39,1.66,1
73.24,96.19,73.24,109.62,95.4,36.38,35.2,8.24,-1.74,1
75.44,73,73.97,76.9,70.14,2.93,12.8,-4.59,-14.96,1
60.55,55.91,55.91,72.02,66.04,16.11,38.4,24.72,10.98,1
89.36,87.4,88.13,92.29,85.55,4.15,24,4.36,-8.03,1
71.04,60.55,60.79,73.49,68.07,12.7,30.4,16.03,2.48,1
73,73.97,73,76.9,74.67,3.91,27.2,11.36,-1.48,1
34.91,58.59,34.91,95.95,60.58,61.04,60.8,16.9,-0.39,0
81.79,76.66,76.66,85.69,81.08,9.03,32,12.96,1.75,1
67.38,86.91,54.2,89.11,64.05,34.91,19.2,-4.2,-18.04,0
41.75,57.86,41.02,70.07,56.88,29.05,14.4,2.41,-17.1,0
65.92,67.63,65.92,69.58,67.29,3.66,14.4,-0.36,-10.06,0
35.16,34.91,34.91,47.36,34.91,12.45,14.4,12.26,2.03,0
72.51,58.35,60.55,88.87,76.98,28.32,36.8,36.41,22.79,1
40.04,40.53,39.55,96.68,74.31,57.13,35.2,8.98,-11.35,0
108.15,101.07,101.07,104.98,98.91,3.91,20.8,27.34,15.67,1
71.04,68.85,68.85,73,70.51,4.15,17.6,3.7,-7.05,1
38.09,35.64,36.87,91.8,65.87,54.93,30.4,11.31,-3.92,0
69.58,62.74,63.23,71.29,66.58,8.06,32,20.5,6.99,1
66.16,75.93,66.16,84.23,76.03,18.07,22.4,25,14.28,1
76.9,75.93,75.93,78.86,76.92,2.93,14.4,3.41,-7.01,1
65.19,98.39,63.72,104.49,77.38,40.77,32,17.72,5.62,1
79.35,74.95,75.44,80.81,69.47,5.37,25.6,1.3,-7.76,1
61.28,103.52,61.28,105.96,93.1,44.68,16,16.2,6.55,1
43.7,43.95,41.75,72.51,52.32,30.76,40,9.54,-7.1,0
58.59,70.07,53.71,77.39,65.81,23.68,19.2,5,-10.16,0
88.87,82.76,82.76,90.09,85.58,7.32,17.6,-0.04,-12.19,1
51.76,49.56,46.88,60.06,50.51,13.18,14.4,7.6,-7.98,1
68.6,63.23,63.23,70.07,62.42,6.84,22.4,1.07,-10.63,1
49.32,45.65,49.32,66.41,50.99,17.09,51.2,-2.61,-15.12,0
41.5,77.64,41.5,81.54,67.25,40.04,35.2,3.63,-9.23,1
36.13,50.05,36.13,95.21,69.71,59.08,17.6,15.72,-2.52,0
38.82,49.32,37.84,76.17,56.09,38.33,40,4.44,-9.84,0
52.73,51.76,52.25,58.11,53.51,5.86,20.8,14.69,2.96,1
62.26,60.55,60.79,65.19,59.62,4.39,33.6,2.59,-9.25,1
85.45,69.34,70.07,90.82,77.98,20.75,16,32.95,19.16,1
78.86,75.93,76.66,82.28,77.37,5.62,27.2,11.29,-2.39,1
38.57,35.16,35.16,83.74,59.93,48.58,22.4,5.87,-16.08,0
66.16,63.72,64.94,74.71,68.55,9.77,22.4,12.6,1.4,1
53.47,47.85,47.61,56.64,49.56,9.03,24,-1.38,-11.35,0
75.2,73.24,73.97,77.39,69.5,3.42,14.4,-0.81,-9.74,1
70.07,65.19,66.89,72.27,66.95,5.37,16,8.33,-4.34,1
42.48,49.07,36.38,96.68,67.68,60.3,24,17.9,-2.81,0
64.21,61.52,61.77,66.89,60.64,5.13,27.2,3.61,-7.72,1
75.68,88.87,70.07,104.74,81.39,34.67,57.6,38.73,24.91,1
63.96,58.35,58.59,65.43,58.13,6.84,16,-2.16,-15.22,1
77.39,75.93,76.42,79.83,73.77,3.42,16,8.42,0.43,1
90.58,94.73,90.58,97.17,92.36,6.59,19.2,5.2,-6.44,1
77.64,74.95,74.95,79.59,76.95,4.64,25.6,6.02,-4.17,1
47.12,42.72,46.88,84.23,56.49,37.35,27.2,2.43,-9.66,0
65.19,62.74,63.23,75.68,70.27,12.45,27.2,12.83,1.09,1
76.17,63.96,64.7,83.5,76.14,18.8,43.2,33.76,17.82,1
62.5,60.55,61.28,64.94,57.35,3.66,19.2,4.51,-7.17,1
103.27,96.19,97.9,106.45,96.86,8.54,30.4,8.97,-3.83,1
34.91,43.7,34.91,78.37,51.28,43.46,19.2,12.75,-4.79,0
73,72.27,72.75,77.64,73.02,4.88,30.4,7.24,-6.7,1
73.49,105.47,71.29,107.42,76.55,36.13,36.8,14.64,0.82,1
94.48,88.87,89.84,98.14,87.41,8.3,19.2,2.47,-9.12,1
77.15,74.46,74.46,104.98,79.57,30.52,30.4,34.59,21.57,1
63.96,87.89,41.5,92.29,60.47,50.78,43.2,46.31,32.11,1
96.44,96.44,63.96,104.49,74.91,40.53,46.4,28.35,12.66,1
76.17,73.24,73.97,81.54,76.56,7.57,28.8,17.7,4.98,1
47.61,48.83,37.6,52.49,44.6,14.89,14.4,-4.91,-17.23,0
63.96,64.7,63.96,70.31,65.33,6.35,24,15.63,3.92,1
75.68,72.75,73.24,80.57,74.91,7.32,24,6.99,-5.88,1
73.97,73.97,73.97,76.9,74.67,2.93,22.4,13.56,1.12,1
44.19,60.55,37.35,75.93,62.98,38.57,40,11.65,-3.81,0
84.96,93.51,84.96,98.39,83.51,13.43,14.4,13.88,5.88,1
